price,available,min_fiat,max_fiat,orders,completion,positive,merchant_age_days,pro,nick,proven
18.0,200.0,150.0,1000000.0,0,0.0,100.0,0.0,False,User-7537a,False
16.55,685.07,3000.0,1000000.0,67,90.60000000000001,100.0,0.0,False,LhDennytrading,True
16.51,610.05,10000.0,10072.0,63,92.7,91.66666599999999,0.0,False,pastorndobe,True
16.5,50000.0,5000.0,250000.0,0,0.0,93.807339,0.0,False,elowhyte,False
16.5,1224.98,1000.0,73000.0,1005,98.9,100.0,0.0,False,PrimeJefTrades,True
16.41,1100.0,9000.0,9010.0,45,100.0,0.0,0.0,False,Bag_trades,True
16.33,29052.36,3000.0,12850.0,43,89.60000000000001,97.61904700000001,0.0,False,amingo_xchange,False
16.32,620.0,5000.0,30000.0,120,99.2,98.26302700000001,0.0,False,Ncuti,True
16.25,470.0,7630.0,7640.0,4,100.0,100.0,0.0,False,P2P-267a2ekq,False
16.25,500.07,5500.0,6400.0,120,99.2,98.26302700000001,0.0,False,Ncuti,True
16.19,45541.96,5000.0,100000.0,534,97.3,97.333333,0.0,False,Mpofana,True
16.19,7832.35,15000.0,1300000.0,107,93.89999999999999,96.774193,0.0,False,jesussaviour2,True
16.18,90144.41,5000.0,50000.0,38,90.5,96.836982,0.0,False,Ntombomzi,True
16.18,128136.82,7000.0,60000.0,450,94.6,97.815533,0.0,False,YOMIE-NFT ,True
16.17,6000.0,3000.0,200000.0,86,100.0,98.996655,0.0,False,Decryptor_16,True
16.17,10500.0,3000.0,22000000.0,902,97.1,99.759615,0.0,False,francinah,True
16.15,1300.0,1000.0,100000.0,56,87.5,98.474945,0.0,False,Bdi-Pay,False
16.13,113310.19,5000.0,750000.0,142,100.0,100.0,0.0,False,PayReliable,True
16.12,200000.0,100000.0,3302000.0,1,100.0,99.79466099999999,0.0,False,SWIFT_CRYPTO,False
16.11,124047.03,5000.0,600000.0,398,100.0,99.721448,0.0,False,Faizan Exchange,True
16.11,129886.84,10000.0,1500000.0,175,97.8,100.0,0.0,False,SONJA_STYEN,True
16.1,189284.29,2900.0,22000000.0,287,71.8,91.09362,0.0,False,Alphadontobak,False
16.07,164218.69,1500.0,60000.0,1506,94.19999999999999,94.803085,0.0,False,AllbyPidi,True
16.06,162050.27,1500.0,1250000.0,4921,97.1,100.0,0.0,False,GrassHut,True
16.05,192259.16,5000.0,20000000.0,8071,100.0,100.0,0.0,True,Nftwholesalers,True
16.03,198522.34,3500.0,750000.0,175,97.8,100.0,0.0,False,SONJA_STYEN,True
16.01,1000000.0,3000000.0,22000000.0,381,97.0,96.44870300000001,0.0,False,MT_FIN_HOLDINGS,True
16.01,183226.0,5000.0,500000.0,175,97.8,100.0,0.0,False,SONJA_STYEN,True
16.01,148476.13,1500.0,2999.0,607,95.6,95.63981,0.0,False,GodAnointedone,True
16.0,3125.0,15000.0,50000.0,11,100.0,100.0,0.0,False,User-c4f30,False
16.0,36562.12,1000.0,150000.0,51,98.1,99.472573,0.0,False,YTsuri,True
16.0,1805.68,500.0,1000000.0,12,85.8,95.535714,0.0,False,Nqobizitha,False
15.99,145241.15,1000.0,350000.0,1506,94.19999999999999,94.803085,0.0,False,AllbyPidi,True
15.98,198703.86,4500.0,150000.0,16,76.2,99.188229,0.0,False,Sweven,False
15.98,199670.54,4500.0,150000.0,16,76.2,99.188229,0.0,False,Sweven,False
15.97,193762.44,700.0,5000.0,473,100.0,92.387405,0.0,False,VND-SOLUTIONS,True
15.93,600.0,2000.0,10000.0,0,0.0,100.0,0.0,False,Crypto_shop55,False
15.93,64995.12,4000.0,22000000.0,198,88.8,99.3346,0.0,False,Charnike,False
15.91,70399.07,250.0,500.0,409,66.7,96.748466,0.0,False,The Combined Crypto Solutions ,False
15.9,13.57,180.0,1800.0,8,100.0,100.0,0.0,False,USA7866,False
15.88,59508.97,530.0,1000.0,409,66.7,96.748466,0.0,False,The Combined Crypto Solutions ,False
15.87,548.47,250.0,12100.0,1127,92.80000000000001,98.218262,0.0,False,786-ZDB-EXCHANGE,True
15.85,194756.27,5000.0,22000000.0,186,93.0,92.728635,0.0,False,certiefied_trader,True
15.85,196545.41,1000.0,22000000.0,198,88.8,99.3346,0.0,False,Charnike,False
15.85,199371.28,3000.0,200000.0,302,94.69999999999999,99.89373,0.0,False,Moonbag Crypto,True
15.85,193778.88,500.0,200000.0,1506,94.19999999999999,94.803085,0.0,False,AllbyPidi,True
15.8,76443.75,1000.0,1000000.0,287,71.8,91.09362,0.0,False,Alphadontobak,False
15.8,94029.26,500.0,2999.0,607,95.6,95.63981,0.0,False,GodAnointedone,True
15.79,196532.62,500.0,5600.0,796,98.6,99.576495,0.0,False,Thabo01n,True
15.79,184157.15,1000.0,40000.0,1348,99.7,99.785561,0.0,False,LNYN,True
